BLOQUES,AREAS,ZONA,GRUPO SUMINISTRO,TOMA DE LUZ,PRODUCTO,DESCRIPCIÓN,DESPIECE,MONTAJE,TIPO MONTAJE,COSTE,FABRICANTE,PROVEEDOR,MARCA,REF./MODELO,UNDS.,PRECIO UND.,DTO.,PRECIO UND. CON DTO.,PRECIO TOTAL,POTENCIA UND.W.,POTENCIA TOTAL W.,ACCESORIO 1,REF./MODELO,UNDS.ACCES. 1,PRECIO ACCES. 1,POTENCIA ACCES.1,ACCESORIO 2,REF./MODELO,UNDS.ACCES. 2,PRECIO ACCES. 2,POTENCIA ACCES.2,ACCESORIO 3,REF./MODELO,UNDS.ACCES. 3,PRECIO ACCES. 3,POTENCIA ACCES.3,ACCESORIO 4,REF./MODELO,UNDS.ACCES. 4,PRECIO ACCES. 4,POTENCIA ACCES.4,PRECIO TOTAL ACCES.,REPUESTOS,REF./MODELO,UNDS.REPTOS.,PRECIO REPTOS.,PRECIO TOTAL REPTOS.,POTENCIA REPUESTOS,TOTAL PRECIO,TOTAL POTENCIA,FLUÍDOS
A,DE ENTRADA,CONSIGNA,Consigna extensión,MM/Consigna 400 extensión,,6904004E,12,"76,42€","0,00%","76,42€","916,99€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,CONSIGNA,Cerradura consigna,MM/Cerradura de candado,,69000008,80,"5,51€","0,00%","5,51€","440,80€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,CONSIGNA,Zócalo grande,MM/Zócalo GV. 1230 MM - ZC403,,69ZC0403,6,"22,30€","0,00%","22,30€","133,81€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,CONSIGNA,Zócalo pequeño,MM/Zócalo GV. 430 MM - ZC401,,69ZC0401,2,"12,39€","0,00%","12,39€","24,78€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Directorio,"""SERVIÇOS HOSPITAL GERAL DO MOXICO"", placa de metacrilato transparente, de 8 mm. de espesor, con fondo blanco, letras en gris oscuro y BLOQUES en su color respectivo, con cantos pulidos y 6 taladros para sujeción. Medidas 800 x 1600 mm.",,,1,"274,00€","0,00%","274,00€","274,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Plafón exterior luminoso,"Plafón exterior luminoso,""HOSPITAL"" , armado de tubo rectangular, para fijar a pared, con metacrilato truled blanco, iluminación módulos led de alta luminosidad, 2900x400x70 mm., color azul sanitario RAL 5024 con letras blancas",,,1,"1.106,33€","0,00%","1.106,33€","1.106,33€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel flujo interno,"Plafón, ""BLOCOS B,C,D,E,F,G"", armado de tubo rectangular, para fijar a pared, 400x200 mm., color azul sanitario RAL 5024 con letras blancas",,,1,"25,00€","0,00%","25,00€","25,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel flujo interno,"Plafón, ""BLOCO A"", armado de tubo rectangular, para fijar a pared, 400x200 mm., color azul sanitario RAL 5024 con letras blancas, flecha a la izquierda",,,1,"25,00€","0,00%","25,00€","25,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel flujo interno,"Plafón, ""BLOCO A"", armado de tubo rectangular, para fijar a pared, 400x200 mm., color azul sanitario RAL 5024 con letras blancas, flecha a la derecha",,,1,"89,00€","0,00%","89,00€","89,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Señalización interior de Área,"Señalización interior de Área, 600x400 mm., ""BLOCO A - Administração e Direcções Gerais - Urgências / Emergências - Consultas Externas - Imagiología"", placa de metacrilato transparente de 8 mm., embellecedores metálicos cromados, color blanco con letras gris oscuro",,,1,"79,25€","0,00%","79,25€","79,25€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Señalización interior de Área,"Señalización interior de Área, 600x400 mm., ""BLOCO A - Administração e Direcções Gerais - Urgências / Emergências - Consultas Externas - Imagiología"", placa de metacrilato transparente de 8 mm., embellecedores metálicos cromados, color blanco con letras gris oscuro",,,1,"89,00€","0,00%","89,00€","89,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Lama con frente curvo,"Cartel interno, 300x100 mm., ""ADMINISTRAÇÃO E DIRECÇÕES GERAIS"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Lama con frente curvo,"Cartel interno, 300x100 mm., ""INFORMAÇÃO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,3,"25,38€","0,00%","25,38€","76,14€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel información,"Rótulo , ""i"", en forma de placa de dibond, rotulados con textos recortados en vinilo blanco para exterior, 200x200 mm., color azul sanitario RAL 5024 con letras blancas",,,2,"15,00€","0,00%","15,00€","30,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel colgante,"Cartel colgante, 400*200 mm., ""RECEPÇÃO"", placa de metacrilato blanco con canto pulidos, suspendido mediante pinzas cromadas. Letras gris oscuro",,,1,"107,00€","0,00%","107,00€","107,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Luminoso,"Luminoso de 9 cm. de grosor, 180*300, perfilería aluminio negro, iluminación leds",,AM00100,1,"3.880,00€","0,00%","3.880,00€","3.880,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Montaje muebles,"Montaje muebles, 2 montadores 2 semanas cada uno de ellos",,499885,4,"1.220,00€","0,00%","1.220,00€","4.880,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Sofá 3 plazas,Sofá Corfú 3P piel NEGRA. Dimensiones: 198*80*64,OFIPRIX,E007233,2,"1.050,00€","30,00%","735,00€","1.470,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Sofá 2 plazas,Sofa Corfú 2P piel NEGRA. Dimensiones: 150*80*64,OFIPRIX,E007232,2,"770,00€","30,00%","539,00€","1.078,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Sofá 1 plaza,Sofa Corfú 1P piel NEGRA. Dimensiones: 96*80*64,OFIPRIX,E007231,2,"595,00€","30,00%","416,50€","833,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mesa delante de sofás,Mesa mod. 878D1.4. Dimensiones: 1400x700X300. Color HB52,OFIPRIX,E007237,1,"256,00€","30,00%","179,20€","179,20€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mesa entre sofas,Mesa mod.115A-1. Dimensiones: 1200x700X350. Color HB52,OFIPRIX,E007234,1,"264,00€","30,00%","184,80€","184,80€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mesa nido,"Klubbo, mesa nido, j2, blanco",IKEA,101.350.27,2,"73,55€","0,00%","73,55€","147,10€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Lámpara de mesa,"IKEA 365+ Brasa, lámpara de mesa, blanco",IKEA,401.487.64,2,"57,84€","0,00%","57,84€","115,68€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Fuente de agua,Fuente de agua fría con llena jarras. Producción 50 litros/hora. Dimensiones 325*340*1.230 mm.,COMERSA,COMERSA F 50 INOX,1,"859,00€","15,00%","730,15€","730,15€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Kit Curva 45 Minus MARFIL-NRJA,OFIPRIX,22558078,2,"259,00€","30,00%","181,30€","362,60€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Kit Curva 45 Mesa MARFIL-NRJA,OFIPRIX,22558077,2,"315,00€","30,00%","220,50€","441,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,MODUS MOS KIT CUR EXT 45 MESA MARFIL-NRJA (metacrilato),OFIPRIX,22558091,2,"389,00€","30,00%","272,30€","544,60€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Lateral Inicial-Final MARFIL,OFIPRIX,22558048,4,"45,00€","30,00%","31,50€","126,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Lateral Intermedio MARFIL,OFIPRIX,22558049,2,"45,00€","30,00%","31,50€","63,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Lateral Minus MARFIL,OFIPRIX,22558050,1,"35,00€","30,00%","24,50€","24,50€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,MODUS MOSTRADOR KIT CARTELA UNION SOBRES,OFIPRIX,225083,5,"40,00€","30,00%","28,00€","140,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,"Silla rodable, giratoria, tapizada, elevación a gas, respaldo alto","Silla Twenty respa/matrix NAR, asien/matrix NE, con brazos",OFIPRIX,E006253,3,"209,00€","30,00%","146,30€","438,90€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Single unit (MT) packaging,Single unit (MT) packaging,HP,I XL521AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Power supply MT,89% Power supply MT,HP,I BX379AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Windows 7 professional,Windows 7 porfessional 32-bit portugués,HP,I XL688AV#AB9,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,CPU,Intel Core i3-2100 CPU,HP,I BW852AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,RAM,2GB DDR3-1333 (1*2GB) RAM,HP,I BV062AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,HARD DRIVE,250GB 7200RPM SATA-6G 1ST HARD DRIVE,HP,I BV005AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Keyboard,USB Standard JB Keyboard portugués,HP,I BV396AV#AB9,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,MOUSE,Mouse BTO/Optical BLK,HP,I VL506AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Supermulti,Supermulti (JB) 1ST,HP,I BV044AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Warranty,3/3/3 MT Warranty,HP,I XT539AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Windows 7 32,Windows 7 32 bit factory imag,HP,I XL719AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Windows 7 64,Windows 7 64 bit factory image recovery,HP,I XL720AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Compaq 8200 elite country,Compaq 8200 elite country kit portugal,HP,I XJ308AV#AB9,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,CPU Label,i3 2nd Gen CPU Label,HP,I BW870AV,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Delivery Service door/dock DT,Delivery Service door/dock DT,HP,I ZD011A,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,MONITOR,Compaq LA1951G LCD MONITOR,HP,I EM890AA,3,"0,00€","0,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Ordenador personal,Base model HP8200 YT,HP,I BX383AV,3,"583,35€","0,00%","583,35€","1.750,05€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,HP,I UX452E,1,"82,85€","0,00%","82,85€","82,85€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Impresora multifuncional láser color,HP color laserjet pro CM1415FN-multifunción (fax/copiadora/impresora/escáner)-color-lase,HP,I CE861A,1,"257,35€","0,00%","257,35€","257,35€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,6,"0,00€","30,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Armario alto documentos melamina,TT armario 159x100 puerta 1533 MARFIL,OFIPRIX,22258036,3,"355,00€","30,00%","248,50€","745,50€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,4,"0,00€","30,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Armario documentos melamina,TT armario 121x100 puerta 1149 MARFIL,OFIPRIX,22258031,2,"289,00€","30,00%","202,30€","404,60€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,3,"11,31€","2,00%","11,08€","33,25€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,"Soporte de pared TV desde 32"" hasta 50""",Vogel's superflat soporte monitor L EFW 8305,VOGEL,I 8383050,1,"52,00€","0,00%","52,00€","52,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,"TV 42""","Televisión 42"" LCD, full HD 50Hz, pantalla de bienvenida, clonación por USB, receptor de cable",LG,I 42LK455C,1,"453,00€","0,00%","453,00€","453,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Lama con frente curvo,"Cartel interno, 300x100 mm., ""ARQUIVO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",,,1,"25,38€","0,00%","25,38€","25,38€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Archivador metálico 4 cajones grandes,Strong archivo 4 caj. GRIS BS4E+DF,OFIPRIX,212340,10,"275,00€","30,00%","192,50€","1.925,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Armario archivador fichas ALUMINIO grande,K2 armario 198x120 ALUMINIO,OFIPRIX,2100222,10,"295,00€","30,00%","206,50€","2.065,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,20,"0,00€","30,00%","0,00€","0,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Estanterías armario archivador fichas ALUMINIO,K2 estante 120 ALUMINIO,OFIPRIX,209922,40,"20,00€","30,00%","14,00€","560,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Papel Multiuse A4,"Papel Multiuse, aptos para copiadora, fax e impresoras, paquetes de 500 hojas 80 g/m2 (caja 2.500 hojas)",STAPLES,L7-40054,1,"17,39€","0,00%","17,39€","17,39€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Notas adhesivas colores,"Notas adhesivas colores, 76 x 76 mm., bloc de 100 notas (caja 12 tacos)",STAPLES,L7- 37059,48,"0,54€","0,00%","0,54€","25,92€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Notas adhesivas amarillas,"Notas adhesivas amarillas, 76 X 76 mm., bloc de 100 notas (caja 12 tacos)",STAPLES,L7-32583,48,"0,46€","0,00%","0,46€","22,08€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Etiquetas autoadhesivas 8,Etiquetas autoadhesivas 8. Dimensiones: 105*70 (caja 100 uds.),STAPLES,L7-33733,1,"10,29€","0,00%","10,29€","10,29€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
