"PRODUCTO"|"DESCRIPCION"|NA|"BLOQUE"|"AREA"|"ZONA"|"REVISION"|"ACCION"|"OBSERVACION"|"PROVEEDOR"|"REFERENCIA"|"UNIDADES"
"2121"|"Aspirador de secreciones portátil"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO CIRUGÍA MENOR"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"IBOR MÉDICA"|"02040007"|"1 "
"2172"|"Aspirador de secreciones portátil"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA POSTANESTESIA"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"IBOR MÉDICA"|"02040007"|"1 "
"2246"|"Aspirador de secreciones portátil"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"CONTROL DE ENFERMERÍA"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"IBOR MÉDICA"|"02040007"|"1 "
"2952"|"Aspirador de secreciones portátil"|NA|"D"|"DE INTERNAMIENTO GENERAL"|"CONTROL ENFERMERÍA"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"IBOR MÉDICA"|"02040007"|"1 "
"5186"|"Aspirador de secreciones portátil"|NA|"G"|"INTERNAMIENTO"|"SALA DE ENFERMERÍA"|"Semestral"|"Limpieza de vaso, y cambio de bolsa, revision de motor"|""|"IBOR MÉDICA"|"02040007"|"1 "
"599"|"Aspirador eléctrico torácico"|NA|"A"|"DE URGENCIAS"|"BOXES OBSERVACIÓN MEDICINA"|"Semestral"|"Limpieza de vaso, y cambio de bolsa"|""|"HERSILL"|"5320271+4320021+4383500"|"1 "
"2534"|"Aspirador eléctrico torácico"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Semestral"|"Limpieza de vaso, y cambio de bolsa"|""|"HERSILL"|"5320271+4320021+4383500"|"1 "
"4956"|"Aspirador eléctrico torácico"|NA|"G"|"URGENCIAS PEDIÁTRICAS"|"BOXES DE URGENCIAS PEDIÁTRICAS"|"Semestral"|"Limpieza de vaso, y cambio de bolsa"|""|"HERSILL"|"5320271+4320021+4383500"|"1 "
"641"|"Baño María"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Anual"|"Limpieza de la cuba"|""|"GRUPO SELECTA"|"3473100"|"1 "
"3035"|"Baño María"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"Limpieza de la cuba"|""|"GRUPO SELECTA"|"3473100"|"1 "
"3365"|"Baño María"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Anual"|"Limpieza de la cuba"|""|"GRUPO SELECTA"|"3473100"|"2 "
"3423"|"Baño María"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Anual"|"Limpieza de la cuba"|""|"GRUPO SELECTA"|"3473100"|"1 "
"3687"|"Baño María"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Anual"|"Limpieza de la cuba"|""|"GRUPO SELECTA"|"3473100"|"1 "
"5253"|"Baño María"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Anual"|"Limpieza de la cuba"|""|"GRUPO SELECTA"|"3473100"|"1 "
"596"|"Bomba de infusión"|NA|"A"|"DE URGENCIAS"|"BOXES OBSERVACIÓN MEDICINA"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"2 "
"868"|"Bomba de infusión"|NA|"A"|"DE URGENCIAS"|"BOXES TRAUMA Y VITALES"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"2 "
"2045"|"Bomba de infusión"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 1"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"1 "
"2094"|"Bomba de infusión"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 2"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"1 "
"2132"|"Bomba de infusión"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO CIRUGÍA MENOR"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"1 "
"2174"|"Bomba de infusión"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA POSTANESTESIA"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"1 "
"2305"|"Bomba de infusión"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"ALMACÉN"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"4 "
"2527"|"Bomba de infusión"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"4 "
"2639"|"Bomba de infusión"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"QUEMADOS"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"2 "
"2740"|"Bomba de infusión"|NA|"D"|"DE INTERNAMIENTO GENERAL"|"SALA DE ÚTILES"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"4 "
"4953"|"Bomba de infusión"|NA|"G"|"URGENCIAS PEDIÁTRICAS"|"BOXES DE URGENCIAS PEDIÁTRICAS"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"3 "
"5075"|"Bomba de infusión"|NA|"G"|"INTERNAMIENTO"|"ALMACÉN"|"Anual"|"Revision de precision"|"Con una jeringa calibrada"|"IBOR MÉDICA"|"01180012"|"3 "
"2042"|"Calentador de sangre e infusiones"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 1"|"Anual"|"Revisión Cableado, y resistencias"|""|"5º envío IBOR MÉDICA"|"01180005"|"1 "
"4952"|"Calentador de sangre e infusiones"|NA|"G"|"URGENCIAS PEDIÁTRICAS"|"BOXES DE URGENCIAS PEDIÁTRICAS"|"Anual"|"Revisión Cableado, y resistencias"|""|"5º envío repuestos IBOR MÉDICA"|"01180005"|"1 "
"5047"|"Calienta biberones"|NA|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Semestral"|"Limpieza de cuba, Revision de Resistencias y Cableado"|""|"5º envío ANTONIO MATACHANA, S.A."|"85060"|"1 "
"621"|"Centrífuga de mesa con cabezales y adaptadores intercambiables"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Semestral"|"Revision de Seguridades, inbalance, puerta, enrase de eje"|""|"GRUPO SELECTA"|"7002555"|"1 "
"3396"|"Centrífuga de mesa con cabezales y adaptadores intercambiables"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Semestral"|"Revision de Seguridades, inbalance, puerta, enrase de eje"|""|"GRUPO SELECTA"|"7002555"|"1 "
"5233"|"Centrífuga de mesa con cabezales y adaptadores intercambiables"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Semestral"|"Revision de Seguridades, inbalance, puerta, enrase de eje"|""|"GRUPO SELECTA"|"7002555"|"2 "
"630"|"Centrífuga de tubos"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Semestral"|"Revision de Seguridades, inbalance, puerta, enrase de eje"|""|"GRUPO SELECTA"|"7002356"|"1 "
"3089"|"Centrífuga de tubos"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Semestral"|"Revision de Seguridades, inbalance, puerta, enrase de eje"|""|"GRUPO SELECTA"|"7002356"|"1 "
"3297"|"Centrífuga de tubos"|NA|"E"|"LABORATORIOS"|"LAB.BIOQUÍMICA"|"Semestral"|"Revision de Seguridades, inbalance, puerta, enrase de eje"|""|"GRUPO SELECTA"|"7002356"|"2 "
"3405"|"Centrífuga de tubos"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Semestral"|"Revision de Seguridades, inbalance, puerta, enrase de eje"|""|"GRUPO SELECTA"|"7002356"|"1 "
"3676"|"Centrífuga de tubos"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Semestral"|"Revision de Seguridades, inbalance, puerta, enrase de eje"|""|"GRUPO SELECTA"|"7002356"|"1 "
"5242"|"Centrífuga de tubos"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Semestral"|"Revision de Seguridades, inbalance, puerta, enrase de eje"|""|"GRUPO SELECTA"|"7002356"|"2 "
"5046"|"Descongelador y calentador de biberones"|NA|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Semestral"|"Revision de puerta, y descarche"|""|"GRUPO SELECTA"|"6000150"|"1 "
"880"|"Desfibrilador AED"|NA|"A"|"DE URGENCIAS"|"BOXES TRAUMA Y VITALES"|"Mensual"|"Autochequeo potencias, revision de palas y cableado"|""|"5º envío IZASA HOSPITAL"|"913DFC-E110-BR"|"1 "
"4978"|"Desfibrilador AED"|NA|"G"|"URGENCIAS PEDIÁTRICAS"|"BOXES DE URGENCIAS PEDIÁTRICAS"|"Mensual"|"Autochequeo potencias, revision de palas y cableado"|""|"5º envío IZASA HOSPITAL"|"913DFC-E110-BR"|"1 "
"883"|"Desfibrilador con monitor"|NA|"A"|"DE URGENCIAS"|"BOXES TRAUMA Y VITALES"|"Mensual"|"Autochequeo potencias, revision de palas y cableado. Revisiín de ECG grafico"|""|"IBOR MÉDICA"|"01030154"|"1 "
"1514"|"Desfibrilador con monitor"|NA|"A"|"DE IMAGIOLOGÍA"|"SALA TAC"|"Mensual"|"Autochequeo potencias, revision de palas y cableado. Revisiín de ECG grafico"|""|"IBOR MÉDICA"|"01030154"|"1 "
"2027"|"Desfibrilador con monitor"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 1"|"Mensual"|"Autochequeo potencias, revision de palas y cableado. Revisiín de ECG grafico"|""|"IBOR MÉDICA"|"01030154"|"1 "
"2230"|"Desfibrilador con monitor"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"CONTROL DE ENFERMERÍA"|"Mensual"|"Autochequeo potencias, revision de palas y cableado. Revisiín de ECG grafico"|""|"IBOR MÉDICA"|"01030154"|"1 "
"2518"|"Desfibrilador con monitor"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Mensual"|"Autochequeo potencias, revision de palas y cableado. Revisiín de ECG grafico"|""|"IBOR MÉDICA"|"01030154"|"1 "
"4981"|"Desfibrilador con monitor"|NA|"G"|"URGENCIAS PEDIÁTRICAS"|"BOXES DE URGENCIAS PEDIÁTRICAS"|"Mensual"|"Autochequeo potencias, revision de palas y cableado. Revisiín de ECG grafico"|""|"IBOR MÉDICA"|"01030154"|"1 "
"589"|"Electrocardiógrafo"|NA|"A"|"DE URGENCIAS"|"BOXES OBSERVACIÓN MEDICINA"|"Mensual"|"Revision de cableado, impresión"|""|"IBOR MÉDICA"|"01010067"|"1 "
"2229"|"Electrocardiógrafo"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"CONTROL DE ENFERMERÍA"|"Mensual"|"Revision de cableado, impresión"|""|"IBOR MÉDICA"|"01010067"|"1 "
"2935"|"Electrocardiógrafo"|NA|"D"|"DE INTERNAMIENTO GENERAL"|"CONTROL ENFERMERÍA"|"Mensual"|"Revision de cableado, impresión"|""|"IBOR MÉDICA"|"01010067"|"1 "
"5166"|"Electrocardiógrafo"|NA|"G"|"INTERNAMIENTO"|"SALA DE ENFERMERÍA"|"Mensual"|"Revision de cableado, impresión"|""|"IBOR MÉDICA"|"01010067"|"1 "
"1372"|"Electrocardiógrafo con monitor"|NA|"A"|"DE CONSULTAS EXTERNAS"|"CONSULTAS POLV.MEDICINA Y CIRUGÍA"|"Mensual"|"Revision de cableado, impresión"|""|"IBOR MÉDICA"|"01010089"|"1 "
"4972"|"Electrocardiógrafo con monitor"|NA|"G"|"URGENCIAS PEDIÁTRICAS"|"BOXES DE URGENCIAS PEDIÁTRICAS"|"Mensual"|"Revision de cableado, impresión"|""|"IBOR MÉDICA"|"01010089"|"1 "
"4941"|"Esfingomanómetro de pared con manguito pediátrico"|NA|"G"|"URGENCIAS PEDIÁTRICAS"|"BOXES DE URGENCIAS PEDIÁTRICAS"|"Anual"|"Revision de Pera, y tubo"|""|"IBOR MÉDICA"|"02030025"|"6 "
"616"|"Esterilizador Poupinel"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Anual"|"Test de control de tiempo, limpieza de interior, tapa"|""|"GRUPO SELECTA"|"2000911"|"1 "
"5228"|"Esterilizador Poupinel"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Anual"|"Test de control de tiempo, limpieza de interior, tapa"|""|"GRUPO SELECTA"|"2000911"|"1 "
"631"|"Estufa de secado y esterilización 36L"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Anual"|"Test de control, Revision y limpieza de interior y puerta"|""|"GRUPO SELECTA"|"2000209"|"1 "
"5243"|"Estufa de secado y esterilización 36L"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Anual"|"Test de control, Revision y limpieza de interior y puerta"|""|"GRUPO SELECTA"|"2000209"|"1 "
"635"|"Estufa de secado y esterilización 52L"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Anual"|"Test de control, Revision y limpieza de interior y puerta"|""|"GRUPO SELECTA"|"2000200"|"1 "
"2978"|"Estufa de secado y esterilización 52L"|NA|"E"|"LABORATORIOS"|"ESTERILIZACIÓN"|"Anual"|"Test de control, Revision y limpieza de interior y puerta"|""|"GRUPO SELECTA"|"2000200"|"1 "
"3130"|"Estufa de secado y esterilización 52L"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"Test de control, Revision y limpieza de interior y puerta"|""|"GRUPO SELECTA"|"2000200"|"1 "
"3681"|"Estufa de secado y esterilización 52L"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Anual"|"Test de control, Revision y limpieza de interior y puerta"|""|"GRUPO SELECTA"|"2000200"|"1 "
"5247"|"Estufa de secado y esterilización 52L"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Anual"|"Test de control, Revision y limpieza de interior y puerta"|""|"GRUPO SELECTA"|"2000200"|"2 "
"791"|"Frigorífico clínico"|NA|"A"|"DE URGENCIAS"|"FARMACIA"|"Anual"|"Control de la temperatura, limpieza de puerta"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"1927"|"Frigorífico clínico"|NA|"B"|"QUIRÚRGICA"|"SALA DE ANESTESIA"|"Anual"|"Control de la temperatura, limpieza de puerta"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"3100"|"Frigorífico clínico"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"Control de la temperatura, limpieza de puerta"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"3481"|"Frigorífico clínico"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Anual"|"Control de la temperatura, limpieza de puerta"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"3952"|"Frigorífico clínico"|NA|"E"|"FARMACIA"|"PREPARACIÓN DE FÁRMACOS"|"Anual"|"Control de la temperatura, limpieza de puerta"|""|"GRUPO SELECTA"|"-2101275"|"2 "
"5212"|"Frigorífico clínico"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"VACUNAS Y NUTRICIÓN"|"Anual"|"Control de la temperatura, limpieza de puerta"|""|"GRUPO SELECTA"|"-2101275"|"1 "
"5057"|"Incubadora"|NA|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Anual"|"Control de la temperatura, limpieza"|""|"REPUESTOS DRÄGER MEDICAL"|"C2000"|"1 "
"5060"|"Incubadora"|NA|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Anual"|"Control de la temperatura, limpieza"|""|"DRÄGER MEDICAL"|"C2000"|"1 "
"5056"|"Lámpara de fototerapia"|NA|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Anual"|"Control de lamparas"|""|"6º envío DRÄGER MEDICAL"|""|"1 "
"5059"|"Lámpara de fototerapia"|NA|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Anual"|"Control de lamparas"|""|"6º envío DRÄGER MEDICAL"|""|"1 "
"871"|"Laringoscopio LED"|NA|"A"|"DE URGENCIAS"|"BOXES TRAUMA Y VITALES"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"872"|"Laringoscopio LED"|NA|"A"|"DE URGENCIAS"|"BOXES TRAUMA Y VITALES"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"1310"|"Laringoscopio LED"|NA|"A"|"DE CONSULTAS EXTERNAS"|"CONSULTA DE OTORRINOLARINGOLOGÍA"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"1311"|"Laringoscopio LED"|NA|"A"|"DE CONSULTAS EXTERNAS"|"CONSULTA DE OTORRINOLARINGOLOGÍA"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"2038"|"Laringoscopio LED"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 1"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"2039"|"Laringoscopio LED"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 1"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"2088"|"Laringoscopio LED"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 2"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"2089"|"Laringoscopio LED"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO 2"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"2127"|"Laringoscopio LED"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO CIRUGÍA MENOR"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"2128"|"Laringoscopio LED"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA DE QUIRÓFANO CIRUGÍA MENOR"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"2564"|"Laringoscopio LED"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"2565"|"Laringoscopio LED"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Semestral"|"Revision de baterias"|""|"IBOR MÉDICA"|"02060098"|"1 "
"5009"|"Laringoscopio pediátrico"|NA|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Semestral"|"Revision de baterias"|""|"HERSILL"|"0130126+0130110+0130105+0130101+0130116"|"2 "
"2506"|"Lavacuñas desinfector"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Semestral"|"Limpieza interna, ciclo en vacio"|""|"ANTONIO MATACHANA, S.A."|"85317"|"1 "
"2853"|"Lavacuñas desinfector"|NA|"D"|"DE INTERNAMIENTO GENERAL"|"INTERNAMIENTO ENFERMEDADES INFECCIOSAS"|"Semestral"|"Limpieza interna, ciclo en vacio"|""|"ANTONIO MATACHANA, S.A."|"85317"|"1 "
"5067"|"Lavacuñas desinfector"|NA|"G"|"INTERNAMIENTO"|"INTERNAMIENTO PEDIÁTRICO"|"Semestral"|"Limpieza interna, ciclo en vacio"|""|"ANTONIO MATACHANA, S.A."|"85317"|"1 "
"747"|"Lavavajillas sobremesa 6 servicios"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Semestral"|"Limpieza de Filtros"|""|"5º envío SUMALSA"|"3VK300BC"|"1 "
"5288"|"Lavavajillas sobremesa 6 servicios"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Semestral"|"Limpieza de Filtros"|""|"5º envío SUMALSA"|"3VK300BC"|"1 "
"5163"|"Lavavajillas suelo 12 servicios"|NA|"G"|"INTERNAMIENTO"|"SALA DE ENFERMERÍA"|"Semestral"|"Limpieza de Filtros"|""|"5º envío SUMALSA"|"3VS570BP"|"1 "
"611"|"Microscopio binocular con objetivo de inmersión"|NA|"A"|"DE URGENCIAS"|"LABORATORIO"|"Anual"|"Revision de cableado, lampara, limpieza de opticas"|"Las opticas todos los dias"|"SUMALSA"|"DM750"|"2 "
"3014"|"Microscopio binocular con objetivo de inmersión"|NA|"E"|"LABORATORIOS"|"LAB.MICRO., BACTE. Y SEROLOGÍA"|"Anual"|"Revision de cableado, lampara, limpieza de opticas"|"Las opticas todos los dias"|"SUMALSA"|"DM750"|"3 "
"3390"|"Microscopio binocular con objetivo de inmersión"|NA|"E"|"LABORATORIOS"|"LAB.HEMATOLOGÍA"|"Anual"|"Revision de cableado, lampara, limpieza de opticas"|"Las opticas todos los dias"|"SUMALSA"|"DM750"|"3 "
"3658"|"Microscopio binocular con objetivo de inmersión"|NA|"E"|"HEMOTERAPIA"|"LABORATORIO"|"Anual"|"Revision de cableado, lampara, limpieza de opticas"|"Las opticas todos los dias"|"SUMALSA"|"DM750"|"1 "
"5223"|"Microscopio binocular con objetivo de inmersión"|NA|"G"|"CONSULTAS EXTERNAS PEDIATRÍA"|"LABORATORIO"|"Anual"|"Revision de cableado, lampara, limpieza de opticas"|"Las opticas todos los dias"|"SUMALSA"|"DM750"|"3 "
"592"|"Monitor constantes vitales base rodable"|NA|"A"|"DE URGENCIAS"|"BOXES OBSERVACIÓN MEDICINA"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"1 "
"848"|"Monitor constantes vitales base rodable"|NA|"A"|"DE URGENCIAS"|"BOXES TRAUMA Y VITALES"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"2 "
"2168"|"Monitor constantes vitales base rodable"|NA|"B"|"CENTRAL DE ESTERILIZACIÓN QUIRÚRGICA"|"SALA POSTANESTESIA"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"1 "
"2455"|"Monitor constantes vitales base rodable"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"SALA DE INTERNAMIENTO CIRUGÍA"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"1 "
"2482"|"Monitor constantes vitales base rodable"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"SALA DE INTERNAMIENTO TRAUMA"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"2 "
"2559"|"Monitor constantes vitales base rodable"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"UCI"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"1 "
"2637"|"Monitor constantes vitales base rodable"|NA|"C"|"DE INTERNAMIENTO GENERAL"|"QUEMADOS"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"1 "
"2827"|"Monitor constantes vitales base rodable"|NA|"D"|"DE INTERNAMIENTO GENERAL"|"INTERNAMIENTO GENERAL"|"Anual"|"Revision de cableado"|"No disponen de equipos para testearlo"|"IBOR MÉDICA"|"01040062"|"3 "
