BLOQUES,AREAS,ZONA,PRODUCTO,DESCRIPCIÓN,PROVEEDOR,REF./MODELO,UNDS.
A,DE ENTRADA,CONSIGNA,Consigna extensión,MM/Consigna 400 extensión,5º envío JOMASI.,6904004E,12 
A,DE ENTRADA,CONSIGNA,Cerradura consigna,MM/Cerradura de candado,5º envío JOMASI.,69000008,80 
A,DE ENTRADA,CONSIGNA,Zócalo grande,MM/Zócalo GV. 1230 MM - ZC403,5º envío JOMASI.,69ZC0403,6 
A,DE ENTRADA,CONSIGNA,Zócalo pequeño,MM/Zócalo GV. 430 MM - ZC401,5º envío JOMASI.,69ZC0401,2 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Directorio,"""SERVIÇOS HOSPITAL GERAL DO MOXICO"", placa de metacrilato transparente, de 8 mm. de espesor, con fondo blanco, letras en gris oscuro y BLOQUES en su color respectivo, con cantos pulidos y 6 taladros para sujeción. Medidas 800 x 1600 mm.",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Plafón exterior luminoso,"Plafón exterior luminoso,""HOSPITAL"" , armado de tubo rectangular, para fijar a pared, con metacrilato truled blanco, iluminación módulos led de alta luminosidad, 2900x400x70 mm., color azul sanitario RAL 5024 con letras blancas",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel flujo interno,"Plafón, ""BLOCOS B,C,D,E,F,G"", armado de tubo rectangular, para fijar a pared, 400x200 mm., color azul sanitario RAL 5024 con letras blancas",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel flujo interno,"Plafón, ""BLOCO A"", armado de tubo rectangular, para fijar a pared, 400x200 mm., color azul sanitario RAL 5024 con letras blancas, flecha a la izquierda",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel flujo interno,"Plafón, ""BLOCO A"", armado de tubo rectangular, para fijar a pared, 400x200 mm., color azul sanitario RAL 5024 con letras blancas, flecha a la derecha",6º envío FEMONSA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Señalización interior de Área,"Señalización interior de Área, 600x400 mm., ""BLOCO A - Administração e Direcções Gerais - Urgências / Emergências - Consultas Externas - Imagiología"", placa de metacrilato transparente de 8 mm., embellecedores metálicos cromados, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Señalización interior de Área,"Señalización interior de Área, 600x400 mm., ""BLOCO A - Administração e Direcções Gerais - Urgências / Emergências - Consultas Externas - Imagiología"", placa de metacrilato transparente de 8 mm., embellecedores metálicos cromados, color blanco con letras gris oscuro",6º envío FEMONSA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Lama con frente curvo,"Cartel interno, 300x100 mm., ""ADMINISTRAÇÃO E DIRECÇÕES GERAIS"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Lama con frente curvo,"Cartel interno, 300x100 mm., ""INFORMAÇÃO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel información,"Rótulo , ""i"", en forma de placa de dibond, rotulados con textos recortados en vinilo blanco para exterior, 200x200 mm., color azul sanitario RAL 5024 con letras blancas",5º envío RÓTULOS ARCEGA,,2 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Cartel colgante,"Cartel colgante, 400*200 mm., ""RECEPÇÃO"", placa de metacrilato blanco con canto pulidos, suspendido mediante pinzas cromadas. Letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Luminoso,"Luminoso de 9 cm. de grosor, 180*300, perfilería aluminio negro, iluminación leds",CUADRIMAN,AM00100,1
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Montaje muebles,"Montaje muebles, 2 montadores 2 semanas cada uno de ellos",6º envío montaje OFIPRIX,499885,4
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Sofá 3 plazas,Sofá Corfú 3P piel NEGRA. Dimensiones: 198*80*64,OFIPRIX,E007233,2 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Sofá 2 plazas,Sofa Corfú 2P piel NEGRA. Dimensiones: 150*80*64,OFIPRIX,E007232,2 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Sofá 1 plaza,Sofa Corfú 1P piel NEGRA. Dimensiones: 96*80*64,OFIPRIX,E007231,2 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mesa delante de sofás,Mesa mod. 878D1.4. Dimensiones: 1400x700X300. Color HB52,OFIPRIX,E007237,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mesa entre sofas,Mesa mod.115A-1. Dimensiones: 1200x700X350. Color HB52,OFIPRIX,E007234,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mesa nido,"Klubbo, mesa nido, j2, blanco",5º envío IKEA.,101.350.27,2 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Lámpara de mesa,"IKEA 365+ Brasa, lámpara de mesa, blanco",5º envío IKEA.,401.487.64,2 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Fuente de agua,Fuente de agua fría con llena jarras. Producción 50 litros/hora. Dimensiones 325*340*1.230 mm.,TELLSA,COMERSA F 50 INOX,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Kit Curva 45 Minus MARFIL-NRJA,OFIPRIX,22558078,2
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Kit Curva 45 Mesa MARFIL-NRJA,OFIPRIX,22558077,2
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,MODUS MOS KIT CUR EXT 45 MESA MARFIL-NRJA (metacrilato),OFIPRIX,22558091,2
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Lateral Inicial-Final MARFIL,OFIPRIX,22558048,4
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Lateral Intermedio MARFIL,OFIPRIX,22558049,2
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,Modus Mos Lateral Minus MARFIL,OFIPRIX,22558050,1
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Mostrador de admisión/entrada curvo,MODUS MOSTRADOR KIT CARTELA UNION SOBRES,OFIPRIX,225083,5
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,"Silla rodable, giratoria, tapizada, elevación a gas, respaldo alto","Silla Twenty respa/matrix NAR, asien/matrix NE, con brazos",OFIPRIX,E006253,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Single unit (MT) packaging,Single unit (MT) packaging,INYCOM,I XL521AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Power supply MT,89% Power supply MT,INYCOM,I BX379AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Windows 7 professional,Windows 7 porfessional 32-bit portugués,INYCOM,I XL688AV#AB9,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,CPU,Intel Core i3-2100 CPU,INYCOM,I BW852AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,RAM,2GB DDR3-1333 (1*2GB) RAM,INYCOM,I BV062AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,HARD DRIVE,250GB 7200RPM SATA-6G 1ST HARD DRIVE,INYCOM,I BV005AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Keyboard,USB Standard JB Keyboard portugués,INYCOM,I BV396AV#AB9,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,MOUSE,Mouse BTO/Optical BLK,INYCOM,I VL506AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Supermulti,Supermulti (JB) 1ST,INYCOM,I BV044AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Warranty,3/3/3 MT Warranty,INYCOM,I XT539AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Windows 7 32,Windows 7 32 bit factory imag,INYCOM,I XL719AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Windows 7 64,Windows 7 64 bit factory image recovery,INYCOM,I XL720AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Compaq 8200 elite country,Compaq 8200 elite country kit portugal,INYCOM,I XJ308AV#AB9,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,CPU Label,i3 2nd Gen CPU Label,INYCOM,I BW870AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Delivery Service door/dock DT,Delivery Service door/dock DT,INYCOM,I ZD011A,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,MONITOR,Compaq LA1951G LCD MONITOR,INYCOM,I EM890AA,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Ordenador personal,Base model HP8200 YT,INYCOM,I BX383AV,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,INYCOM,I UX452E,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Impresora multifuncional láser color,HP color laserjet pro CM1415FN-multifunción (fax/copiadora/impresora/escáner)-color-lase,INYCOM,I CE861A,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,6 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Armario alto documentos melamina,TT armario 159x100 puerta 1533 MARFIL,OFIPRIX,22258036,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,4 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Armario documentos melamina,TT armario 121x100 puerta 1149 MARFIL,OFIPRIX,22258031,2 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,3 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,"Soporte de pared TV desde 32"" hasta 50""",Vogel's superflat soporte monitor L EFW 8305,INYCOM,I 8383050,1 
A,DE ENTRADA,VESTIBULO/ESPERA Y RECEPCIÓN,"TV 42""","Televisión 42"" LCD, full HD 50Hz, pantalla de bienvenida, clonación por USB, receptor de cable",INYCOM,I 42LK455C,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Lama con frente curvo,"Cartel interno, 300x100 mm., ""ARQUIVO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Archivador metálico 4 cajones grandes,Strong archivo 4 caj. GRIS BS4E+DF,OFIPRIX,212340,10 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Armario archivador fichas ALUMINIO grande,K2 armario 198x120 ALUMINIO,OFIPRIX,2100222,10 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,20 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Estanterías armario archivador fichas ALUMINIO,K2 estante 120 ALUMINIO,OFIPRIX,209922,40 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Papel Multiuse A4,"Papel Multiuse, aptos para copiadora, fax e impresoras, paquetes de 500 hojas 80 g/m2 (caja 2.500 hojas)",STAPLES PRODUCTOS DE OFICINA,L7-40054,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Notas adhesivas colores,"Notas adhesivas colores, 76 x 76 mm., bloc de 100 notas (caja 12 tacos)",STAPLES PRODUCTOS DE OFICINA,L7- 37059,48 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Notas adhesivas amarillas,"Notas adhesivas amarillas, 76 X 76 mm., bloc de 100 notas (caja 12 tacos)",STAPLES PRODUCTOS DE OFICINA,L7-32583,48 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Etiquetas autoadhesivas 8,Etiquetas autoadhesivas 8. Dimensiones: 105*70 (caja 100 uds.),STAPLES PRODUCTOS DE OFICINA,L7-33733,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Etiquetas autoadhesivas 16,Etiquetas autoadhesivas 16. Dimensiones: 105*37 (caja 100 uds.),STAPLES PRODUCTOS DE OFICINA,L7-32783,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Etiquetas autoadhesivas 24,Etiquetas autoadhesivas 24. Dimensiones: 70*37 (caja 100 uds.),STAPLES PRODUCTOS DE OFICINA,L7-32779,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Bolígrafo azul,"Bolígrafo Cristal azul, tinta de aceite, trazo de 0,4 mm. (caja 50 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-28023-1,250 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Bolígrafo rojo,"Bolígrafo Cristal rojo, tinta de aceite, trazo de 0,4 mm. (caja 50 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-28023-2,250 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Bolígrafo negro,"Bolígrafo Cristal negro, tinta de aceite, trazo de 0,4 mm. (caja 50 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-28023-3,250 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Optiflow Needle azul,"Rotulador Optiflow Needle azul, tinta líquida, punta de aguja con trazo de 0,35 mm. (caja 12 uds.)",STAPLES PRODUCTOS DE OFICINA,07-44147-1,36 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Optiflow Needle rojo,"Rotulador Optiflow Needle rojo, tinta líquida, punta de aguja con trazo de 0,35 mm. (caja 12 uds.)",STAPLES PRODUCTOS DE OFICINA,07-44147-2,36 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Optiflow Needle negro,"Rotulador Optiflow Needle negro, tinta líquida, punta de aguja con trazo de 0,35 mm. (caja 12 uds.)",STAPLES PRODUCTOS DE OFICINA,07-44147-3,36 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Edding 1200 azul,"Rotulador Edding 1200 azul, con tinta a base de agua, trazo de 0,5-1 mm. (caja 10 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-28048-1,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Edding 1200 rojo,"Rotulador Edding 1200 rojo, con tinta a base de agua, trazo de 0,5-1 mm. (caja 10 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-28048-2,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Edding 1200 negro,"Rotulador Edding 1200 negro, con tinta a base de agua, trazo de 0,5-1 mm. (caja 10 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-28048-3,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Edding 1200 verde,"Rotulador Edding 1200 verde, con tinta a base de agua, trazo de 0,5-1 mm. (caja 10 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-28048-4,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Edding 1300 azul,"Rotulador Edding 1300 azul, con tinta a base de agua, trazo de 2-3 mm. (caja 10 uds.)",STAPLES PRODUCTOS DE OFICINA,07-38016-1,60 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Edding 1300 rojo,"Rotulador Edding 1300 rojo, con tinta a base de agua, trazo de 2-3 mm. (caja 10 uds.)",STAPLES PRODUCTOS DE OFICINA,07-38016-2,60 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Rotulador Edding 1300 negro,"Rotulador Edding 1300 negro, con tinta a base de agua, trazo de 2-3 mm. (caja 10 uds.)",STAPLES PRODUCTOS DE OFICINA,07-38016-3,60 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Marcador Edding 400 azul,"Marcador Edding 400 azul, permanente, punta ojival (caja 5 uds.)",STAPLES PRODUCTOS DE OFICINA,07-43298-1,5 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Marcador Edding 400 rojo,"Marcador Edding 400 rojo, permanente, punta ojival (caja 5 uds.)",STAPLES PRODUCTOS DE OFICINA,07-43298-2,5 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Marcador Edding 400 negro,"Marcador Edding 400 negro, permanente, punta ojival (caja 5 uds.)",STAPLES PRODUCTOS DE OFICINA,07-43298-3,5 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Marcador fluorescente azul,"Marcador fluorescente Hype! azul, capuchón con clip (caja 5 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-36893-1,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Marcador fluorescente verde,"Marcador fluorescente Hype! verde, capuchón con clip (caja 5 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-36893-2,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Marcador fluorescente amarillo,"Marcador fluorescente Hype! amarillo, capuchón con clip (caja 5 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-36893-3,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Marcador fluorescente rosa,"Marcador fluorescente Hype! rosa, capuchón con clip (caja 5 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-36893-4,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Marcador fluorescente naranja,"Marcador fluorescente Hype! naranja, capuchón con clip (caja 5 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-36893-5,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Corrector líquido,"Corrector líquido, secado rápido, 20 ml. (uds.)",STAPLES PRODUCTOS DE OFICINA,L7-36956,40 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Regla,"Regla, longitud 30 cm. (uds.)",STAPLES PRODUCTOS DE OFICINA,07-46318,50 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Goma de borrar,"Goma de borrar Milan 430, 28 X 28 X 13 (caja 30 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-28889,90 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Lápiz,"Lápiz Noris 120, mina de grafito, forma hexagonal, HB normal (caja 12 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-31350,144 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Sacapuntas,"Sacapuntas de plástico, doble uso, colores surtidos (uds.)",STAPLES PRODUCTOS DE OFICINA,07-42634,40 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Alfombrilla para ratón,"Alfombrilla para ratón, base antideslizante, en poliéster, color azul. Dimensiones: 230 x 190 mm.(uds.)",STAPLES PRODUCTOS DE OFICINA,L7-42489,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Calculadora,"Calculadora de bolsillo, alimentación solar y a pilas (incluye pila LR54), apagado automático (uds.)",STAPLES PRODUCTOS DE OFICINA,L7-43121,21 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Barra adhesiva,Barra adhesiva 40 gr. (uds.),STAPLES PRODUCTOS DE OFICINA,L7-44166,24 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Cinta adhesiva transparente,"Cinta ancha adhesiva transparente, 19 mm. x 33 mm. (caja 8 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-36513,40 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Pack celo + portarrollos,Pack Scotch C60 celo + portarrollos (uds.),STAPLES PRODUCTOS DE OFICINA,07-42048,3 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Portarrollos,"Portarrollos de 33 mm., base pesada (uds.)",STAPLES PRODUCTOS DE OFICINA,07-49890-1,20 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Clips,"Clips nº 2, 30 mm. (caja 100 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-30894,20 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Tizas pizarra,"Tizas antipolvo Giotto Robercolor, colores variados (caja 100 uds.)",STAPLES PRODUCTOS DE OFICINA,07-40640,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Pizarra verde,"Pizarra verde para tizas, no magnética, 3 mm. de grosor y marco de madera. Dimensiones: 60 x 40 cm. (uds.)",STAPLES PRODUCTOS DE OFICINA,07-40626,3 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Pizarra imantada,"Pizarra blanca lacada, borrable, imantada, con bandeja portarrotuladores . Dimensiones: 120 x 90 cm. (uds.)",STAPLES PRODUCTOS DE OFICINA,L7-38875,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Kit accesorios pizarra imantada,"Kit de accesorios pizarra imantada Basic (spray limpiador, borrador magnético, 4 rotuladores y 4 imanes) (uds.)",STAPLES PRODUCTOS DE OFICINA,L7-43451,5 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Imanes pizarra,"Imanes pizarra, colores variados, 30 mm. (caja 10 uds.)",STAPLES PRODUCTOS DE OFICINA,07-43726,5 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Caballete informativo,"Caballete informativo, doble cara de exposición, lámina de protección de PVC antirreflejos, marco de aluminio con sistema pinza en los 4 lados, superficie magnética (uds.)",STAPLES PRODUCTOS DE OFICINA,07-41667,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Atril expositor,"Atril expositor de suelo Sherpa, con panel de presentación acrílico, altura ajustable y base de apoyo (uds.)",STAPLES PRODUCTOS DE OFICINA,07-46517,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Pack Formación,"Pack Formación: 1 caballete profesional, 5 blocs de papel liso, 4 rotuladores colores surtidos, 1 spray limpiador, 1 borrador en seco y 4 imanes en colores surtidos (uds.)",STAPLES PRODUCTOS DE OFICINA,07-44728,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Cizalla,"Cizalla A4, 8 hojas (Pack plastificación)",STAPLES PRODUCTOS DE OFICINA,L7-43207,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Plastificadora,Plastificadora BC Inspire A4 (Pack plastificación),STAPLES PRODUCTOS DE OFICINA,07-44462,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Fundas plástico,Fundas plástico A4 75 (Pack plastificación) (paquete 100 uds.),STAPLES PRODUCTOS DE OFICINA,L7-29448,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Cutter,"Cutter, cuerpo y carril de plástico, 18 mm. (uds.)",STAPLES PRODUCTOS DE OFICINA,L7-42096,20 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Tijeras de oficina,"Tijeras de oficina, hoja de acero inoxidable, empuñadura ergonómica de plástico, 21 cm.",STAPLES PRODUCTOS DE OFICINA,06-34461,36 
